Time,PWM,ToF
5364.00000000,70.00000000,6.33300000
5374.00000000,70.00000000,6.22900000
5385.00000000,70.00000000,6.11400000
5396.00000000,70.00000000,5.99900000
5407.00000000,70.00000000,8.00000000
5418.00000000,70.00000000,8.10200000
5433.00000000,70.00000000,8.24200000
5443.00000000,70.00000000,8.33600000
5453.00000000,70.00000000,8.42900000
5463.00000000,70.00000000,8.52300000
5473.00000000,70.00000000,8.61600000
5484.00000000,70.00000000,8.71900000
5495.00000000,70.00000000,8.82200000
5506.00000000,70.00000000,8.92500000
5517.00000000,70.00000000,9.28000000
5528.00000000,70.00000000,9.13000000
5541.00000000,70.00000000,9.25200000
5551.00000000,70.00000000,9.34500000
5559.00000000,70.00000000,9.42000000
5564.00000000,70.00000000,9.46700000
5579.00000000,70.00000000,9.60700000
5587.00000000,70.00000000,9.68200000
5592.00000000,70.00000000,9.72800000
5607.00000000,-70.00000000,7.00000000
5617.00000000,70.00000000,6.94900000
5627.00000000,70.00000000,6.89900000
5638.00000000,70.00000000,6.84400000
5649.00000000,70.00000000,6.78900000
5660.00000000,70.00000000,6.73500000
5666.00000000,70.00000000,6.70400000
5675.00000000,70.00000000,6.65900000
5686.00000000,70.00000000,6.60500000
5697.00000000,70.00000000,9.00000000
5708.00000000,70.00000000,9.24400000
5719.00000000,70.00000000,9.48800000
5730.00000000,70.00000000,9.73300000
5745.00000000,70.00000000,10.66000000
5755.00000000,70.00000000,10.28800000
5761.00000000,70.00000000,10.42200000
5771.00000000,70.00000000,10.64400000
5781.00000000,70.00000000,10.86600000
5791.00000000,70.00000000,11.88000000
5802.00000000,-70.00000000,6.00000000
5813.00000000,70.00000000,5.68500000
5822.00000000,70.00000000,5.42800000
5832.00000000,70.00000000,5.14200000
5838.00000000,70.00000000,4.97100000
5848.00000000,70.00000000,4.68500000
5860.00000000,70.00000000,4.34200000
5871.00000000,70.00000000,4.28000000
5882.00000000,70.00000000,3.71400000
5893.00000000,70.00000000,3.39900000
5908.00000000,70.00000000,8.00000000
5918.00000000,70.00000000,8.18800000
5928.00000000,70.00000000,8.37700000
5938.00000000,70.00000000,8.56600000
5944.00000000,70.00000000,8.67900000
5954.00000000,70.00000000,8.86700000
5966.00000000,70.00000000,9.94000000
5977.00000000,70.00000000,9.30100000
5988.00000000,70.00000000,9.50900000
5999.00000000,-70.00000000,7.00000000
6014.00000000,70.00000000,6.83500000
6022.00000000,70.00000000,6.74700000
6033.00000000,70.00000000,6.62600000
6038.00000000,70.00000000,6.57100000
6044.00000000,70.00000000,6.50500000
6049.00000000,70.00000000,6.45000000
6066.00000000,70.00000000,6.26300000
6071.00000000,70.00000000,6.20800000
6081.00000000,70.00000000,6.98000000
6092.00000000,70.00000000,5.97800000
6103.00000000,70.00000000,8.00000000
6114.00000000,70.00000000,8.10500000
6125.00000000,70.00000000,8.21100000
