2024-05-05 18:28:24,511 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:28:27,262 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:30:11,612 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:30:51,751 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:30:54,446 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:32:51,947 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:37:46,116 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:37:49,067 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:38:44,215 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:38:52,419 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:38:55,055 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:39:12,956 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:59:31,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:59:36,335 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:00:46,751 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:07:41,286 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:07:43,874 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
